id,genres,keywords,name,platforms,slug,summary,total_rating,total_rating_count,game_type,game_status,cover_url
63844,['Sport'],"[78, 311, 4141, 25265, 29745, 48291]",Ace wo Nerae!,[58],ace-wo-nerae,A tennis game for the Super Famicom based on the 1970s manga and anime of the same name.,52.90462943179914,5,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2kux.jpg
28850,"['Shooter', 'Racing', 'Arcade']","[166, 947]",Alleykat,[15],alleykat,"Alleykat is a vertically-scrolling racer with elements of a shoot-em up game.

The player, a speeder pilot, strives to become the Alleykat Champion by competing in eight space stadiums scattered around the galaxy. Different races like demolition derbies, time-trials, endurance epics and others feature all kinds of obstacles like rocks, pillars, bridges and hard walls, and several types of enemies race along.

The game also features a cooperative two-player-mode.",60.0,5,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/mywtpdjnjytdvixg9yen.jpg
3700,"['Real Time Strategy (RTS)', 'Simulator', 'Strategy']","[151, 4134, 4345, 5436]",The Settlers: Rise of an Empire,[6],the-settlers-rise-of-an-empire,"In The Settlers - Rise of an Empire, players build lively, bustling towns in a medieval world. Everything in this richly detailed, realistic world is visible and lovingly animated. Each Settler figure has his or her own daily routine, with a range of different actions and behaviors that can be observed at all times. The ultimate objective of the game is to expand your empire and become a legendary ruler.
Spur your settlers on to ever greater efforts, develop a flourishing economy, satisfy the needs of your citizens, and protect your people from danger!",72.18342359866429,22,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co1r6r.jpg
55051,['Shooter'],"[1, 166, 167, 844, 1097, 1313, 1821, 2152, 3486, 4259, 4967, 5722]",Aero Fighters 3,"[52, 80, 79, 136]",aero-fighters-3,"When enemy forces wipe out the jets of the Aero Fighters, they must scramble using heavily-modified World War II warplanes in the third installment of the comical Aero Fighters series.",70.37359515811605,12,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co82w2.jpg
3012,"['Music', 'Indie', 'Arcade']","[78, 285, 1375, 1503, 2152, 2362, 2385, 3540, 4137, 4333, 4368, 4869, 4984, 4989, 5029, 5114, 5523, 7369, 8310, 9331]",Osu!,"[3, 34, 6, 39, 14]",osu,"""rhythm is just a click away""

osu! is a PC-first reimagining featuring the gameplay mechanics of the rhythm game series ""Osu! Tatakae! Ouendan!"". Built community first, the game lives on only due to a constant flow of user creations over multiple decades. Jump straight into the beatmap editor and make your own masterpiece, or re-skin the game to make it yours.

Play for fun, or play competitively against millions of active players, either in leaderboards or realtime multiplayer rooms. Create teams, make new friends, or even get involved in one of the many commuinty-run teams that keep the game alive!",73.24913437273304,221,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co8a4m.jpg
10631,['Puzzle'],"[394, 1299, 1333, 1495, 1935, 2071, 3224, 4134, 4213, 4300, 4333, 4359, 4522, 4544, 4841, 4869, 5143, 6765, 9927, 11895]",Picross 3D,"[41, 20]",picross-3d,Picross 3D is the sequel to the popular Picross DS puzzle game. The original game was a number-based grid puzzle that challenged players to reveal a hidden picture. Picross 3D moves the action into three dimensions. Picross 3D blends the logical challenge of a sudoku puzzle with the excitement of discovering the hidden images within.,81.85363887709909,23,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2dzy.jpg
17849,"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure', 'Indie', 'Visual Novel']","[78, 126, 521, 25963]",Alphadia Genesis,"[48, 34, 6, 39, 167, 41, 49, 130]",alphadia-genesis,Alphadia Genesis is the first JRPG from acclaimed developers KEMCO to be released on Steam. The story chronicles an epic adventure with Fray and his investigative team from the Archleign Kingdom as they set out to solve a mysterious murder case in a nearby city.,73.75,4,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co2c8j.jpg
18099,"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure']","[114, 153, 249, 1563, 2071, 4347, 4361, 4841, 4842, 4882, 5087, 5254, 5414, 7313, 7741, 7742, 8025, 8356, 8362, 8399, 8518, 8581, 8589, 9676]",Pokémon Moon,[37],pokemon-moon,"Pokémon Sun and Pokémon Moon will be the first games in the Pokémon series to allow players to choose from nine languages to play in. In addition to English, French, German, Italian, Japanese, Korean, and Spanish, players will now be able to play in both Traditional and Simplified Chinese.",80.96076032793198,252,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co3co8.jpg
4487,"['Shooter', 'Platform', 'Arcade']","[1, 21, 1107, 1186, 1666, 1821, 2152, 3486, 3831, 4259, 4522, 4967, 5307, 5311, 5323, 27629, 31533]",Mercs,"[52, 15, 5, 29, 16, 25, 64]",mercs,"The players are members of a covert counter-terrorist team of mercenaries known as the ""Wolf Force"". The aim of the game was to rescue the former President from rebels in the fictional African country of Zutula, which bears resemblance to the apartheid regime in South Africa. The game has six main levels, plus the final level where your mission is to rescue the former U.S. president from the Hercules Transport. The game's arsenal include real-world machine guns, shot guns, flame throwers, and grenade launchers. Several missions even have pilotable vehicles available.",76.29248934875862,22,0,,https://images.igdb.com/igdb/image/upload/t_cover_big/co264b.jpg
20039,"['Puzzle', 'Strategy']","[2423, 4134, 4510, 5087, 9676]",Pokémon Picross,[37],pokemon-picross,The Pokémon and Picross franchises combine on 3DS.,69.75194240177439,29,0,8.0,https://images.igdb.com/igdb/image/upload/t_cover_big/co2sww.jpg
